	lang	meteor
0	fr	0.09681627456326702
1	iw	0.0368413305608787
2	zh	0.0013994573372977954
3	nl	0.06919410156421006
4	vi	0.08257557878214727
5	it	0.07538615779305531
6	ca	0.0880885892906717
7	es	0.07208087052893274
8	zh-TW	0.0009671507524720307
9	cs	0.03361233021846231
10	uk	0.05175128267691784
11	hu	0.0632001564402114
12	de	0.05217359716502636
13	ar	0.022524346606580245
14	ja	0.0036634039445346414
15	pl	0.056567287882638734
16	ru	0.019649890996540756
17	pt	0.06240051282874705
18	sv	0.09088015645850453
19	en	0.08049314281693125
